season,market,n_bets,roi,hit_rate,avg_edge,avg_ev
2024,h1_ATS,39,0.027972027972027982,0.5384615384615384,2.3385419856314758,0.13701389379886855
2024,h1_TOTAL,33,-0.2479338842975206,0.3939393939393939,4.134424368405874,0.17413984809497085
2024,h2_ATS,43,0.06553911205073998,0.5581395348837209,2.179432790459726,0.12498459136166293
2024,h2_TOTAL,33,-0.19008264462809915,0.42424242424242425,4.219186929725311,0.1792164994034875
2024,q1_ATS,26,-0.26573426573426573,0.38461538461538464,1.6141606115153204,0.13291560800358962
2024,q1_TOTAL,23,-0.5019762845849802,0.2608695652173913,2.639595502096806,0.1550142206859675
2024,q2_ATS,18,0.3787878787878788,0.7222222222222222,1.5489614895398407,0.12629504500745334
2024,q2_TOTAL,22,0.12809917355371903,0.5909090909090909,2.7288591134927036,0.16217418489779092
2024,q3_ATS,23,-0.08695652173913043,0.4782608695652174,1.6250631764449426,0.13413584639324128
2024,q3_TOTAL,26,-0.04545454545454546,0.5,2.5409521694615758,0.14778354955586598
2024,q4_ATS,21,-0.18181818181818182,0.42857142857142855,1.4871317713485066,0.11955820324135435
2024,q4_TOTAL,23,-0.16996047430830039,0.43478260869565216,2.75951338484557,0.16455283465147857
2025,h1_ATS,193,-0.25812529439472487,0.38860103626943004,3.124935731857004,0.19230226768858366
2025,h1_TOTAL,215,-0.17420718816067654,0.4325581395348837,4.074584437237024,0.17011718953706093
2025,h2_ATS,207,0.1159420289855073,0.5845410628019324,2.9984528465292684,0.1827203703994468
2025,h2_TOTAL,231,-0.008264462809917337,0.5194805194805194,3.875158954255016,0.16002993555767434
2025,q1_ATS,138,-0.29446640316205547,0.3695652173913043,1.986243336628128,0.17130545290067242
2025,q1_TOTAL,161,-0.264822134387352,0.38509316770186336,2.4758366171187696,0.14236341907097155
2025,q2_ATS,126,-0.1060606060606062,0.46825396825396826,1.9929695681146549,0.1718630521319809
2025,q2_TOTAL,169,-0.05110274341043578,0.4970414201183432,2.439863108917333,0.13969607602740133
2025,q3_ATS,133,-0.06698564593301438,0.48872180451127817,1.934462584401767,0.16537204112814366
2025,q3_TOTAL,177,-0.0077041602465332815,0.519774011299435,2.423145573236053,0.1384715535744038
2025,q4_ATS,163,0.0775237032905742,0.5644171779141104,1.9856469258120566,0.1713120507330764
2025,q4_TOTAL,171,0.11642743221690603,0.5847953216374269,2.4499620779358207,0.14062999766880377
