season,market,start,end,roi_bankroll
2024,h1_ATS,100.0,101.09090909090904,0.010909090909090313
2025,h1_ATS,100.0,50.18181818181799,-0.49818181818182017
2024,h1_TOTAL,100.0,91.81818181818178,-0.08181818181818212
2025,h1_TOTAL,100.0,62.545454545454305,-0.37454545454545696
2024,h2_ATS,100.0,102.81818181818176,0.02818181818181764
2025,h2_ATS,100.0,123.99999999999969,0.23999999999999688
2024,h2_TOTAL,100.0,93.72727272727269,-0.06272727272727308
2025,h2_TOTAL,100.0,98.09090909090878,-0.019090909090912156
2024,q1_ATS,100.0,93.09090909090907,-0.06909090909090931
2025,q1_ATS,100.0,59.36363636363623,-0.4063636363636377
2024,q1_TOTAL,100.0,88.45454545454544,-0.11545454545454559
2025,q1_TOTAL,100.0,57.3636363636362,-0.42636363636363794
2024,q2_ATS,100.0,106.81818181818178,0.0681818181818179
2025,q2_ATS,100.0,86.63636363636348,-0.1336363636363651
2024,q2_TOTAL,100.0,102.81818181818178,0.028181818181817864
2025,q2_TOTAL,100.0,91.36363636363615,-0.08636363636363853
2024,q3_ATS,100.0,97.99999999999997,-0.02000000000000024
2025,q3_ATS,100.0,91.09090909090892,-0.08909090909091077
2024,q3_TOTAL,100.0,98.81818181818178,-0.011818181818182172
2025,q3_TOTAL,100.0,98.6363636363634,-0.013636363636366
2024,q4_ATS,100.0,96.18181818181816,-0.03818181818181843
2025,q4_ATS,100.0,112.6363636363634,0.126363636363634
2024,q4_TOTAL,100.0,96.09090909090907,-0.0390909090909094
2025,q4_TOTAL,100.0,119.90909090909065,0.19909090909090654
